SNo,SPP,Block,ICR,Inv,SMB,Tags,FieldSCBName
1,Phelan,PH,ICR01,INV01,SCB01,ITC1_INV1_CT1_A,ICR01_INV01_SCB01
2,Phelan,PH,ICR01,INV01,SCB02,ITC1_INV1_CT2_A,ICR01_INV01_SCB02
3,Phelan,PH,ICR01,INV01,SCB03,ITC1_INV1_CT3_A,ICR01_INV01_SCB03
4,Phelan,PH,ICR01,INV01,SCB04,ITC1_INV1_CT4_A,ICR01_INV01_SCB04
5,Phelan,PH,ICR01,INV01,SCB05,ITC1_INV1_CT5_A,ICR01_INV01_SCB05
6,Phelan,PH,ICR01,INV01,SCB08,ITC1_INV1_CT8_A,ICR01_INV01_SCB06
7,Phelan,PH,ICR01,INV01,SCB09,ITC1_INV1_CT9_A,ICR01_INV01_SCB07
8,Phelan,PH,ICR01,INV01,SCB10,ITC1_INV1_CT10_A,ICR01_INV01_SCB08
9,Phelan,PH,ICR01,INV01,SCB11,ITC1_INV1_CT11_A,ICR01_INV01_SCB09
10,Phelan,PH,ICR01,INV01,SCB12,ITC1_INV1_CT12_A,ICR01_INV01_SCB10
11,Phelan,PH,ICR01,INV01,SCB15,ITC1_INV1_CT15_A,ICR01_INV01_SCB11
12,Phelan,PH,ICR01,INV01,SCB16,ITC1_INV1_CT16_A,ICR01_INV01_SCB12
13,Phelan,PH,ICR01,INV01,SCB17,ITC1_INV1_CT17_A,ICR01_INV01_SCB13
14,Phelan,PH,ICR01,INV01,SCB18,ITC1_INV1_CT18_A,ICR01_INV01_SCB14
15,Phelan,PH,ICR01,INV01,SCB19,ITC1_INV1_CT19_A,ICR01_INV01_SCB15
16,Phelan,PH,ICR01,INV02,SCB01,ITC1_INV2_CT1_A,ICR01_INV02_SCB01
17,Phelan,PH,ICR01,INV02,SCB02,ITC1_INV2_CT2_A,ICR01_INV02_SCB02
18,Phelan,PH,ICR01,INV02,SCB03,ITC1_INV2_CT3_A,ICR01_INV02_SCB03
19,Phelan,PH,ICR01,INV02,SCB04,ITC1_INV2_CT4_A,ICR01_INV02_SCB04
20,Phelan,PH,ICR01,INV02,SCB05,ITC1_INV2_CT5_A,ICR01_INV02_SCB05
21,Phelan,PH,ICR01,INV02,SCB08,ITC1_INV2_CT8_A,ICR01_INV02_SCB06
22,Phelan,PH,ICR01,INV02,SCB09,ITC1_INV2_CT9_A,ICR01_INV02_SCB07
23,Phelan,PH,ICR01,INV02,SCB10,ITC1_INV2_CT10_A,ICR01_INV02_SCB08
24,Phelan,PH,ICR01,INV02,SCB11,ITC1_INV2_CT11_A,ICR01_INV02_SCB09
25,Phelan,PH,ICR01,INV02,SCB12,ITC1_INV2_CT12_A,ICR01_INV02_SCB10
26,Phelan,PH,ICR01,INV02,SCB15,ITC1_INV2_CT15_A,ICR01_INV02_SCB11
27,Phelan,PH,ICR01,INV02,SCB16,ITC1_INV2_CT16_A,ICR01_INV02_SCB12
28,Phelan,PH,ICR01,INV02,SCB17,ITC1_INV2_CT17_A,ICR01_INV02_SCB13
29,Phelan,PH,ICR01,INV02,SCB18,ITC1_INV2_CT18_A,ICR01_INV02_SCB14
30,Phelan,PH,ICR01,INV02,SCB19,ITC1_INV2_CT19_A,ICR01_INV02_SCB15
31,Phelan,PH,ICR01,INV03,SCB01,ITC1_INV3_CT1_A,ICR01_INV03_SCB01
32,Phelan,PH,ICR01,INV03,SCB02,ITC1_INV3_CT2_A,ICR01_INV03_SCB02
33,Phelan,PH,ICR01,INV03,SCB03,ITC1_INV3_CT3_A,ICR01_INV03_SCB03
34,Phelan,PH,ICR01,INV03,SCB04,ITC1_INV3_CT4_A,ICR01_INV03_SCB04
35,Phelan,PH,ICR01,INV03,SCB05,ITC1_INV3_CT5_A,ICR01_INV03_SCB05
36,Phelan,PH,ICR01,INV03,SCB08,ITC1_INV3_CT8_A,ICR01_INV03_SCB06
37,Phelan,PH,ICR01,INV03,SCB09,ITC1_INV3_CT9_A,ICR01_INV03_SCB07
38,Phelan,PH,ICR01,INV03,SCB10,ITC1_INV3_CT10_A,ICR01_INV03_SCB08
39,Phelan,PH,ICR01,INV03,SCB11,ITC1_INV3_CT11_A,ICR01_INV03_SCB09
40,Phelan,PH,ICR01,INV03,SCB12,ITC1_INV3_CT12_A,ICR01_INV03_SCB10
41,Phelan,PH,ICR01,INV03,SCB15,ITC1_INV3_CT15_A,ICR01_INV03_SCB11
42,Phelan,PH,ICR01,INV03,SCB16,ITC1_INV3_CT16_A,ICR01_INV03_SCB12
43,Phelan,PH,ICR01,INV03,SCB17,ITC1_INV3_CT17_A,ICR01_INV03_SCB13
44,Phelan,PH,ICR01,INV03,SCB18,ITC1_INV3_CT18_A,ICR01_INV03_SCB14
45,Phelan,PH,ICR01,INV03,SCB19,ITC1_INV3_CT19_A,ICR01_INV03_SCB15
46,Phelan,PH,ICR01,INV04,SCB01,ITC1_INV4_CT1_A,ICR01_INV04_SCB01
47,Phelan,PH,ICR01,INV04,SCB02,ITC1_INV4_CT2_A,ICR01_INV04_SCB02
48,Phelan,PH,ICR01,INV04,SCB03,ITC1_INV4_CT3_A,ICR01_INV04_SCB03
49,Phelan,PH,ICR01,INV04,SCB04,ITC1_INV4_CT4_A,ICR01_INV04_SCB04
50,Phelan,PH,ICR01,INV04,SCB05,ITC1_INV4_CT5_A,ICR01_INV04_SCB05
51,Phelan,PH,ICR01,INV04,SCB08,ITC1_INV4_CT8_A,ICR01_INV04_SCB06
52,Phelan,PH,ICR01,INV04,SCB09,ITC1_INV4_CT9_A,ICR01_INV04_SCB07
53,Phelan,PH,ICR01,INV04,SCB10,ITC1_INV4_CT10_A,ICR01_INV04_SCB08
54,Phelan,PH,ICR01,INV04,SCB11,ITC1_INV4_CT11_A,ICR01_INV04_SCB09
55,Phelan,PH,ICR01,INV04,SCB12,ITC1_INV4_CT12_A,ICR01_INV04_SCB10
56,Phelan,PH,ICR01,INV04,SCB15,ITC1_INV4_CT15_A,ICR01_INV04_SCB11
57,Phelan,PH,ICR01,INV04,SCB16,ITC1_INV4_CT16_A,ICR01_INV04_SCB12
58,Phelan,PH,ICR01,INV04,SCB17,ITC1_INV4_CT17_A,ICR01_INV04_SCB13
59,Phelan,PH,ICR01,INV04,SCB18,ITC1_INV4_CT18_A,ICR01_INV04_SCB14
60,Phelan,PH,ICR01,INV04,SCB19,ITC1_INV4_CT19_A,ICR01_INV04_SCB15
61,Phelan,PH,ICR02,INV01,SCB01,ITC2_INV1_CT1_A,ICR02_INV01_SCB01
62,Phelan,PH,ICR02,INV01,SCB02,ITC2_INV1_CT2_A,ICR02_INV01_SCB02
63,Phelan,PH,ICR02,INV01,SCB03,ITC2_INV1_CT3_A,ICR02_INV01_SCB03
64,Phelan,PH,ICR02,INV01,SCB04,ITC2_INV1_CT4_A,ICR02_INV01_SCB04
65,Phelan,PH,ICR02,INV01,SCB05,ITC2_INV1_CT5_A,ICR02_INV01_SCB05
66,Phelan,PH,ICR02,INV01,SCB08,ITC2_INV1_CT8_A,ICR02_INV01_SCB06
67,Phelan,PH,ICR02,INV01,SCB09,ITC2_INV1_CT9_A,ICR02_INV01_SCB07
68,Phelan,PH,ICR02,INV01,SCB10,ITC2_INV1_CT10_A,ICR02_INV01_SCB08
69,Phelan,PH,ICR02,INV01,SCB11,ITC2_INV1_CT11_A,ICR02_INV01_SCB09
70,Phelan,PH,ICR02,INV01,SCB13,ITC2_INV1_CT13_A,ICR02_INV01_SCB10
71,Phelan,PH,ICR02,INV01,SCB15,ITC2_INV1_CT15_A,ICR02_INV01_SCB11
72,Phelan,PH,ICR02,INV01,SCB16,ITC2_INV1_CT16_A,ICR02_INV01_SCB12
73,Phelan,PH,ICR02,INV01,SCB17,ITC2_INV1_CT17_A,ICR02_INV01_SCB13
74,Phelan,PH,ICR02,INV01,SCB18,ITC2_INV1_CT18_A,ICR02_INV01_SCB14
75,Phelan,PH,ICR02,INV01,SCB19,ITC2_INV1_CT19_A,ICR02_INV01_SCB15
76,Phelan,PH,ICR02,INV02,SCB01,ITC2_INV2_CT1_A,ICR02_INV02_SCB01
77,Phelan,PH,ICR02,INV02,SCB02,ITC2_INV2_CT2_A,ICR02_INV02_SCB02
