SNo,SPP,Block,ICR,Inv,SMB,tagname,SCBNameinField
1,Trnl,B01,ICR01,I01_1,SCB01,ICR_01..Inv_01_PV_01_Current,ICR_01..Inv_01_PV_01_Current
2,Trnl,B01,ICR01,I01_1,SCB02,ICR_01..Inv_01_PV_02_Current,ICR_01..Inv_01_PV_02_Current
3,Trnl,B01,ICR01,I01_1,SCB03,ICR_01..Inv_01_PV_03_Current,ICR_01..Inv_01_PV_03_Current
4,Trnl,B01,ICR01,I01_1,SCB04,ICR_01..Inv_01_PV_04_Current,ICR_01..Inv_01_PV_04_Current
5,Trnl,B01,ICR01,I01_1,SCB05,ICR_01..Inv_01_PV_05_Current,ICR_01..Inv_01_PV_05_Current
6,Trnl,B01,ICR01,I01_1,SCB06,ICR_01..Inv_01_PV_06_Current,ICR_01..Inv_01_PV_06_Current
7,Trnl,B01,ICR01,I01_1,SCB11,ICR_01..Inv_01_PV_11_Current,ICR_01..Inv_01_PV_11_Current
8,Trnl,B01,ICR01,I01_1,SCB12,ICR_01..Inv_01_PV_12_Current,ICR_01..Inv_01_PV_12_Current
9,Trnl,B01,ICR01,I01_1,SCB13,ICR_01..Inv_01_PV_13_Current,ICR_01..Inv_01_PV_13_Current
10,Trnl,B01,ICR01,I01_1,SCB14,ICR_01..Inv_01_PV_14_Current,ICR_01..Inv_01_PV_14_Current
11,Trnl,B01,ICR01,I01_1,SCB15,ICR_01..Inv_01_PV_15_Current,ICR_01..Inv_01_PV_15_Current
12,Trnl,B01,ICR01,I01_1,SCB16,ICR_01..Inv_01_PV_16_Current,ICR_01..Inv_01_PV_16_Current
13,Trnl,B01,ICR01,I01_1,SCB18,ICR_01..Inv_01_PV_18_Current,ICR_01..Inv_01_PV_18_Current
14,Trnl,B01,ICR01,I01_1,SCB22,ICR_01..Inv_01_PV_22_Current,ICR_01..Inv_01_PV_22_Current
15,Trnl,B01,ICR01,I01_1,SCB23,ICR_01..Inv_01_PV_23_Current,ICR_01..Inv_01_PV_23_Current
16,Trnl,B01,ICR01,I01_1,SCB24,ICR_01..Inv_01_PV_24_Current,ICR_01..Inv_01_PV_24_Current
17,Trnl,B01,ICR01,I01_1,SCB25,ICR_01..Inv_01_PV_25_Current,ICR_01..Inv_01_PV_25_Current
18,Trnl,B01,ICR01,I01_1,SCB26,ICR_01..Inv_01_PV_26_Current,ICR_01..Inv_01_PV_26_Current
19,Trnl,B01,ICR01,I01_1,SCB27,ICR_01..Inv_01_PV_27_Current,ICR_01..Inv_01_PV_27_Current
20,Trnl,B01,ICR01,I01_1,SCB28,ICR_01..Inv_01_PV_28_Current,ICR_01..Inv_01_PV_28_Current
21,Trnl,B01,ICR01,I01_2,SCB01,ICR_01..Inv_02_PV_01_Current,ICR_01..Inv_02_PV_01_Current
22,Trnl,B01,ICR01,I01_2,SCB02,ICR_01..Inv_02_PV_02_Current,ICR_01..Inv_02_PV_02_Current
23,Trnl,B01,ICR01,I01_2,SCB03,ICR_01..Inv_02_PV_03_Current,ICR_01..Inv_02_PV_03_Current
24,Trnl,B01,ICR01,I01_2,SCB04,ICR_01..Inv_02_PV_04_Current,ICR_01..Inv_02_PV_04_Current
25,Trnl,B01,ICR01,I01_2,SCB05,ICR_01..Inv_02_PV_05_Current,ICR_01..Inv_02_PV_05_Current
26,Trnl,B01,ICR01,I01_2,SCB06,ICR_01..Inv_02_PV_06_Current,ICR_01..Inv_02_PV_06_Current
27,Trnl,B01,ICR01,I01_2,SCB11,ICR_01..Inv_02_PV_11_Current,ICR_01..Inv_02_PV_11_Current
28,Trnl,B01,ICR01,I01_2,SCB12,ICR_01..Inv_02_PV_12_Current,ICR_01..Inv_02_PV_12_Current
29,Trnl,B01,ICR01,I01_2,SCB13,ICR_01..Inv_02_PV_13_Current,ICR_01..Inv_02_PV_13_Current
30,Trnl,B01,ICR01,I01_2,SCB14,ICR_01..Inv_02_PV_14_Current,ICR_01..Inv_02_PV_14_Current
31,Trnl,B01,ICR01,I01_2,SCB15,ICR_01..Inv_02_PV_15_Current,ICR_01..Inv_02_PV_15_Current
32,Trnl,B01,ICR01,I01_2,SCB16,ICR_01..Inv_02_PV_16_Current,ICR_01..Inv_02_PV_16_Current
33,Trnl,B01,ICR01,I01_2,SCB17,ICR_01..Inv_02_PV_17_Current,ICR_01..Inv_02_PV_17_Current
34,Trnl,B01,ICR01,I01_2,SCB21,ICR_01..Inv_02_PV_21_Current,ICR_01..Inv_02_PV_21_Current
35,Trnl,B01,ICR01,I01_2,SCB22,ICR_01..Inv_02_PV_22_Current,ICR_01..Inv_02_PV_22_Current
36,Trnl,B01,ICR01,I01_2,SCB23,ICR_01..Inv_02_PV_23_Current,ICR_01..Inv_02_PV_23_Current
37,Trnl,B01,ICR01,I01_2,SCB24,ICR_01..Inv_02_PV_24_Current,ICR_01..Inv_02_PV_24_Current
38,Trnl,B01,ICR01,I01_2,SCB25,ICR_01..Inv_02_PV_25_Current,ICR_01..Inv_02_PV_25_Current
39,Trnl,B01,ICR01,I01_2,SCB26,ICR_01..Inv_02_PV_26_Current,ICR_01..Inv_02_PV_26_Current
40,Trnl,B01,ICR01,I01_2,SCB27,ICR_01..Inv_02_PV_27_Current,ICR_01..Inv_02_PV_27_Current
41,Trnl,B01,ICR02,I02_1,SCB01,ICR_02..Inv_01_PV_01_Current,ICR_02..Inv_01_PV_01_Current
42,Trnl,B01,ICR02,I02_1,SCB02,ICR_02..Inv_01_PV_02_Current,ICR_02..Inv_01_PV_02_Current
43,Trnl,B01,ICR02,I02_1,SCB03,ICR_02..Inv_01_PV_03_Current,ICR_02..Inv_01_PV_03_Current
44,Trnl,B01,ICR02,I02_1,SCB04,ICR_02..Inv_01_PV_04_Current,ICR_02..Inv_01_PV_04_Current
45,Trnl,B01,ICR02,I02_1,SCB05,ICR_02..Inv_01_PV_05_Current,ICR_02..Inv_01_PV_05_Current
